# Yakit Version History
# Format: version|date|source
# Data sourced from: https://github.com/yaklang/yakit/releases
1.4.4-0912|2025-09-12|github-release
1.4.3-0801|2025-01-15|previous
1.4.2-0705|2025-01-10|previous
1.4.1-0608|2025-01-08|previous
1.4.0-0503|2025-01-03|previous
1.3.9-0401|2024-12-28|previous
1.4.4-0919|2025-09-20|github-auto-update
1.4.4-0926|2025-09-27|github-auto-update
1.4.4-0928|2025-09-29|github-auto-update
1.4.4-1011|2025-10-12|github-auto-update
1.4.4-1017|2025-10-18|github-auto-update
1.4.4-1024|2025-10-25|github-auto-update
1.0.0-1030-irify|2025-10-31|github-auto-update
1.4.4-1031|2025-11-01|github-auto-update
1.1.0-1104-irify|2025-11-06|github-auto-update
1.4.4-1117|2025-11-08|github-auto-update
1.4.5-1110|2025-11-11|github-auto-update
1.4.5-1115|2025-11-15|github-auto-update
1.4.5-1122|2025-11-22|github-auto-update
1.4.5-1124|2025-11-25|github-auto-update
1.2.0-1124-irify|2025-11-26|github-auto-update
1.4.5-1128|2025-11-29|github-auto-update
1.2.0-1202-irify|2025-12-02|github-auto-update
1.4.5-1207|2025-12-06|github-auto-update
1.4.5-1212|2025-12-13|github-auto-update
1.2.1-1215-irify|2025-12-17|github-auto-update
1.4.5-1219|2025-12-20|github-auto-update
1.4.5-1226|2025-12-27|github-auto-update
1.4.5-0109|2026-01-10|github-auto-update
1.4.6-0116|2026-01-17|github-auto-update
1.4.6-0123|2026-01-24|github-auto-update
1.4.6-0131|2026-01-31|github-auto-update
1.4.6-0206|2026-02-07|github-auto-update
1.4.6-0228|2026-03-01|github-auto-update
1.4.6-0306|2026-03-07|github-auto-update
1.2.2-0309-irify|2026-03-13|github-auto-update
1.4.6-0313|2026-03-14|github-auto-update
1.4.6-0318|2026-03-19|github-auto-update
1.4.6-0320|2026-03-21|github-auto-update
1.4.6-0327|2026-03-28|github-auto-update
1.4.6-0403|2026-04-04|github-auto-update
1.4.6-0410|2026-04-11|github-auto-update
1.4.6-0417|2026-04-18|github-auto-update
1.4.7-0424|2026-04-25|github-auto-update
1.4.7-0429|2026-04-30|github-auto-update
1.4.7-0509|2026-05-10|github-auto-update
1.4.7-0515|2026-05-16|github-auto-update
1.4.7-0518|2026-05-18|github-auto-update
1.4.7-0522|2026-05-22|github-auto-update
1.4.7-0525|2026-05-25|github-auto-update
1.4.7-0529|2026-05-29|github-auto-update
1.4.7-0605|2026-06-05|github-auto-update
1.4.7-0612|2026-06-13|github-auto-update
1.4.7-0618|2026-06-19|github-auto-update
1.4.7-0626|2026-06-27|github-auto-update
1.4.7-0630|2026-06-30|github-auto-update
1.4.8-0703|2026-07-03|github-auto-update
1.4.8-0710|2026-07-10|github-auto-update
